,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
941,66,54,33,33,0,30,0,72,45,27,0,69,0,81,0,78,87,0,54,78,75,57,0,60,30,0,93,18
942,33,48,39,69,0,36,0,63,45,21,0,90,0,87,0,54,99,0,39,75,54,81,0,54,48,0,81,24
943,51,60,33,57,0,45,0,57,57,30,0,75,0,66,0,93,75,0,42,57,45,54,0,60,54,0,102,27
944,57,39,15,72,0,75,0,45,39,36,0,90,0,90,0,66,81,0,33,48,69,66,0,66,36,0,87,30
945,48,48,72,48,0,60,0,66,18,24,0,63,0,81,0,78,81,0,48,39,69,78,0,42,69,0,78,30
946,45,63,33,39,0,30,0,81,21,36,0,69,0,78,0,90,42,0,54,78,87,99,0,45,54,0,78,18
947,45,42,39,39,0,51,0,93,45,45,0,93,0,66,0,75,63,0,33,72,51,105,0,30,33,0,99,21
948,66,54,51,24,0,45,0,90,69,30,0,66,0,60,0,69,54,0,30,78,72,75,0,33,39,0,105,30
949,36,63,30,42,0,69,0,48,36,30,0,81,0,75,0,78,60,0,66,57,87,72,0,66,42,0,84,18
950,48,42,36,30,0,60,0,78,39,39,0,33,0,87,0,81,66,0,39,45,78,105,0,66,57,0,87,24
951,27,42,45,27,0,36,0,42,48,60,0,99,0,93,0,81,78,0,18,72,75,72,0,54,57,0,87,27
952,39,39,30,51,0,57,0,66,36,33,0,72,0,69,0,84,42,0,66,72,60,102,0,48,63,0,84,27
953,24,66,51,51,0,69,0,75,30,27,0,63,0,78,0,90,45,0,48,63,60,78,0,78,45,0,93,6
954,78,60,36,60,0,36,0,51,45,57,0,87,0,60,0,99,57,0,60,15,93,87,0,24,30,0,66,39
955,72,36,66,57,0,60,0,63,54,27,0,78,0,66,0,57,51,0,30,60,72,69,0,48,51,0,102,21
956,63,42,27,33,0,54,0,78,60,30,0,87,0,60,0,63,87,0,48,69,51,78,0,33,60,0,96,21
